Hz,dB(vout/vin)
799834.25,-16.8018321990967
801678.0625,-16.8013687133789
803526.125,-16.8009052276611
805378.4375,-16.8004398345947
807235,-16.7999706268311
809095.875,-16.7995014190674
810961.0625,-16.7990283966064
812830.5,-16.7985534667969
814704.3125,-16.7980766296387
816582.375,-16.7975978851318
818464.8125,-16.7971153259277
820351.5625,-16.796630859375
822242.625,-16.7961463928223
824138.125,-16.7956581115723
826037.9375,-16.7951679229736
827942.1875,-16.7946758270264
829850.75,-16.7941799163818
831763.75,-16.7936840057373
833681.1875,-16.7931842803955
835603,-16.7926826477051
837529.3125,-16.7921772003174
839460,-16.7916717529297
841395.125,-16.7911624908447
843334.75,-16.7906513214111
845278.875,-16.7901382446289
847227.4375,-16.789623260498
849180.5,-16.7891044616699
851138.0625,-16.7885837554932
853100.125,-16.7880611419678
855066.6875,-16.7875347137451
857037.875,-16.7870082855225
859013.5,-16.7864780426025
860993.75,-16.785945892334
862978.5625,-16.7854099273682
864967.9375,-16.7848720550537
866961.875,-16.7843322753906
868960.4375,-16.7837905883789
870963.5625,-16.7832450866699
872971.375,-16.7826976776123
874983.75,-16.7821483612061
877000.8125,-16.7815952301025
879022.5,-16.7810401916504
881048.875,-16.780481338501
883079.875,-16.7799224853516
885115.625,-16.7793598175049
887156,-16.7787933349609
889201.125,-16.7782249450684
891250.9375,-16.7776546478271
893305.5,-16.7770824432373
895364.75,-16.7765064239502
